mobility	selfcare	activity	pain	anxiety	EQ5Dindex
2	2	3	2	1	0.481
2	2	3	2	2	0.456
2	2	3	2	3	0.449
2	2	3	2	4	0.343
2	2	3	2	5	0.232
2	2	3	3	1	0.467
2	2	3	3	2	0.441
2	2	3	3	3	0.435
2	2	3	3	4	0.328
2	2	3	3	5	0.218
2	2	3	4	1	0.356
2	2	3	4	2	0.331
2	2	3	4	3	0.324
2	2	3	4	4	0.245
2	2	3	4	5	0.163
2	2	3	5	1	0.191
2	2	3	5	2	0.165
2	2	3	5	3	0.159
2	2	3	5	4	0.120
2	2	3	5	5	0.081
2	2	4	1	1	0.474
2	2	4	1	2	0.448
2	2	4	1	3	0.442
2	2	4	1	4	0.358
2	2	4	1	5	0.270
2	2	4	2	1	0.416
2	2	4	2	2	0.391
2	2	4	2	3	0.384
2	2	4	2	4	0.300
2	2	4	2	5	0.213
2	2	4	3	1	0.402
2	2	4	3	2	0.376
2	2	4	3	3	0.370
2	2	4	3	4	0.286
2	2	4	3	5	0.198
2	2	4	4	1	0.310
2	2	4	4	2	0.284
2	2	4	4	3	0.278
2	2	4	4	4	0.212
2	2	4	4	5	0.144
2	2	4	5	1	0.171
2	2	4	5	2	0.146
2	2	4	5	3	0.139
2	2	4	5	4	0.101
2	2	4	5	5	0.061
2	2	5	1	1	0.341
2	2	5	1	2	0.315
2	2	5	1	3	0.309
2	2	5	1	4	0.270
2	2	5	1	5	0.231
2	2	5	2	1	0.283
2	2	5	2	2	0.258
2	2	5	2	3	0.251
2	2	5	2	4	0.213
2	2	5	2	5	0.173
2	2	5	3	1	0.269
2	2	5	3	2	0.243
2	2	5	3	3	0.237
2	2	5	3	4	0.198
2	2	5	3	5	0.159
2	2	5	4	1	0.214
2	2	5	4	2	0.189
2	2	5	4	3	0.182
2	2	5	4	4	0.144
2	2	5	4	5	0.104
2	2	5	5	1	0.132
2	2	5	5	2	0.106
2	2	5	5	3	0.100
2	2	5	5	4	0.061
2	2	5	5	5	0.022
2	3	1	1	1	0.577
2	3	1	1	2	0.552
2	3	1	1	3	0.545
2	3	1	1	4	0.439
2	3	1	1	5	0.328
2	3	1	2	1	0.520
2	3	1	2	2	0.494
2	3	1	2	3	0.488
2	3	1	2	4	0.381
2	3	1	2	5	0.271
2	3	1	3	1	0.505
2	3	1	3	2	0.480
2	3	1	3	3	0.473
2	3	1	3	4	0.367
2	3	1	3	5	0.256
2	3	1	4	1	0.395
2	3	1	4	2	0.370
2	3	1	4	3	0.363
2	3	1	4	4	0.284
2	3	1	4	5	0.202
2	3	1	5	1	0.229
2	3	1	5	2	0.204
2	3	1	5	3	0.197
2	3	1	5	4	0.159
2	3	1	5	5	0.119
2	3	2	1	1	0.530
2	3	2	1	2	0.505
2	3	2	1	3	0.498
2	3	2	1	4	0.392
2	3	2	1	5	0.281
2	3	2	2	1	0.472
2	3	2	2	2	0.447
2	3	2	2	3	0.440
2	3	2	2	4	0.334
2	3	2	2	5	0.223
2	3	2	3	1	0.458
2	3	2	3	2	0.433
2	3	2	3	3	0.426
2	3	2	3	4	0.320
2	3	2	3	5	0.209
2	3	2	4	1	0.348
2	3	2	4	2	0.322
2	3	2	4	3	0.316
2	3	2	4	4	0.237
2	3	2	4	5	0.154
2	3	2	5	1	0.182
2	3	2	5	2	0.157
2	3	2	5	3	0.150
2	3	2	5	4	0.112
2	3	2	5	5	0.072
2	3	3	1	1	0.518
2	3	3	1	2	0.493
2	3	3	1	3	0.486
2	3	3	1	4	0.380
2	3	3	1	5	0.269
2	3	3	2	1	0.461
2	3	3	2	2	0.435
2	3	3	2	3	0.429
2	3	3	2	4	0.322
2	3	3	2	5	0.212
2	3	3	3	1	0.446
2	3	3	3	2	0.421
2	3	3	3	3	0.414
2	3	3	3	4	0.308
2	3	3	3	5	0.197
2	3	3	4	1	0.336
2	3	3	4	2	0.311
2	3	3	4	3	0.304
2	3	3	4	4	0.225
2	3	3	4	5	0.143
2	3	3	5	1	0.170
2	3	3	5	2	0.145
2	3	3	5	3	0.138
2	3	3	5	4	0.100
